 First Stage Estimation Results 	lURG 	lMCO_HP 	lMCO_HC 	lSSR 	lPSY 	lSEANCES 	lUSLD 	lURG_PNL 	lMCO_HP_PNL 	lMCO_HC_PNL 	lSSR_PNL 	lPSY_PNL 	lSEANCES_PNL 	lUSLD_PNL 	lURG_PL 	lMCO_HP_PL 	lMCO_HC_PL 	lSSR_PL 	lPSY_PL 	lSEANCES_PL 	lUSLD_PL 	lURG_CHU 	lMCO_HP_CHU 	lMCO_HC_CHU 	lSSR_CHU 	lPSY_CHU 	lSEANCES_CHU 	lUSLD_CHU 	lduree_MCO
lPSY_2019_PNL 	-0.0059 	-0.0203 	-0.0034 	-0.0064 	-0.0347 	0.0101 	0.0034 	0.0077 	-0.0025 	-0.0004 	-0.0122 	0.9554 	0.0375 	-0.0001 	-0.0042 	0.0004 	-0.0005 	-0.0026 	-0.0052 	-0.0117 	0.0001 	-0.0017 	-0.0004 	0.0005 	-0.0037 	-0.0083 	-0.0021 	0.0003 	-0.0022
	(-1.5783) 	(-2.0752) 	(-0.5183) 	(-0.7315) 	(-2.3442) 	(1.2525) 	(1.0767) 	(1.9234) 	(-0.4286) 	(-0.2825) 	(-1.6665) 	(65.460) 	(4.4264) 	(-0.0545) 	(-1.7842) 	(0.2904) 	(-1.2421) 	(-1.1106) 	(-1.2251) 	(-2.6076) 	(0.7730) 	(-1.0628) 	(-0.3727) 	(0.7427) 	(-1.6380) 	(-1.7589) 	(-1.5825) 	(0.4485) 	(-0.7969)
lSEANCES_2019_PNL 	-0.0789 	0.0125 	-0.0043 	-0.0090 	-0.0013 	-0.0295 	0.0021 	0.0281 	0.0437 	0.0034 	-0.0061 	0.0008 	0.8010 	-0.0027 	-0.0205 	-0.0022 	0.0013 	0.0002 	-0.0022 	0.0463 	-0.0005 	-0.0081 	0.0003 	0.0002 	-0.0026 	-0.0027 	0.0096 	-0.0024 	-0.0057
	(-8.2276) 	(0.5328) 	(-0.3181) 	(-0.8113) 	(-0.1362) 	(-1.0890) 	(0.4430) 	(1.5423) 	(2.3348) 	(0.6948) 	(-1.0991) 	(0.1133) 	(22.177) 	(-0.8208) 	(-1.7238) 	(-0.5831) 	(0.9994) 	(0.0439) 	(-1.1675) 	(2.9436) 	(-1.0154) 	(-0.9906) 	(0.1396) 	(0.3026) 	(-1.2916) 	(-1.2491) 	(2.2389) 	(-1.6282) 	(-1.1579)
lUSLD_2019_PNL 	0.0147 	0.0414 	-0.0058 	-0.0309 	0.0084 	0.0142 	-0.0509 	0.0182 	0.0668 	-0.0016 	-0.0196 	-0.0085 	-0.0356 	0.8997 	-0.0069 	-0.0015 	-0.0010 	-0.0089 	-0.0014 	0.0171 	-0.0007 	-0.0023 	-0.0010 	-0.0011 	-0.0085 	-0.0030 	0.0050 	-0.0017 	0.0022
	(1.9932) 	(0.7798) 	(-0.3086) 	(-1.6079) 	(0.7273) 	(0.8579) 	(-2.1255) 	(1.4298) 	(1.3065) 	(-0.1581) 	(-1.6321) 	(-1.1672) 	(-1.4513) 	(37.275) 	(-1.3227) 	(-0.2137) 	(-0.3784) 	(-1.5601) 	(-0.7950) 	(1.4036) 	(-0.8676) 	(-0.8552) 	(-0.2984) 	(-0.6906) 	(-2.0322) 	(-1.1079) 	(1.5541) 	(-0.5224) 	(0.1957)
lURG_2019_PL 	0.0452 	0.0190 	-0.0260 	-0.0031 	0.0045 	0.0541 	0.0003 	0.0023 	0.0090 	0.0023 	0.0006 	0.0022 	0.0151 	0.0033 	0.9804 	0.0193 	0.0101 	-0.0092 	-0.0004 	0.0438 	-0.0010 	0.0014 	0.0046 	0.0006 	-0.0022 	0.0022 	0.0074 	0.0021 	0.0132
	(6.0044) 	(0.8947) 	(-1.4976) 	(-0.2982) 	(1.1366) 	(3.4524) 	(0.0663) 	(0.3518) 	(1.8335) 	(1.1886) 	(0.4282) 	(1.5232) 	(3.0421) 	(1.5886) 	(114.14) 	(1.6566) 	(2.1442) 	(-1.4598) 	(-0.3901) 	(2.3667) 	(-1.1727) 	(0.5752) 	(1.7138) 	(0.5851) 	(-0.8988) 	(1.8077) 	(2.1108) 	(1.7518) 	(2.5147)
lMCO_HC_2019_PL 	-0.0171 	0.0904 	0.0489 	0.0215 	0.0069 	-0.0119 	0.0022 	0.0033 	-0.0101 	0.0008 	0.0005 	0.0026 	-0.0112 	-0.0039 	0.0024 	0.1118 	0.9581 	0.0074 	0.0002 	0.0285 	0.0116 	0.0001 	-0.0002 	0.0016 	0.0092 	0.0023 	-0.0055 	-0.0023 	-0.0046
	(-3.3713) 	(1.9952) 	(2.0188) 	(1.3641) 	(1.6767) 	(-0.9611) 	(0.4260) 	(0.6373) 	(-1.4341) 	(0.2870) 	(0.2900) 	(1.4575) 	(-2.4754) 	(-1.2372) 	(0.4578) 	(2.6038) 	(65.030) 	(0.3894) 	(0.1830) 	(2.5336) 	(1.1599) 	(0.0935) 	(-0.0494) 	(0.7627) 	(2.0745) 	(1.2368) 	(-1.5575) 	(-1.0474) 	(-0.3998)
